,0
0,px_0_face
1,py_0_face
2,dx_0_face
3,dy_0_face
4,px_1_face
5,py_1_face
6,dx_1_face
7,dy_1_face
8,px_2_face
9,py_2_face
10,dx_2_face
11,dy_2_face
12,px_3_face
13,py_3_face
14,dx_3_face
15,dy_3_face
16,px_4_face
17,py_4_face
18,dx_4_face
19,dy_4_face
20,px_5_face
21,py_5_face
22,dx_5_face
23,dy_5_face
24,px_6_face
25,py_6_face
26,dx_6_face
27,dy_6_face
28,px_7_face
29,py_7_face
30,dx_7_face
31,dy_7_face
32,px_8_face
33,py_8_face
34,dx_8_face
35,dy_8_face
36,px_9_face
37,py_9_face
38,dx_9_face
39,dy_9_face
40,px_10_face
41,py_10_face
42,dx_10_face
43,dy_10_face
44,px_11_face
45,py_11_face
46,dx_11_face
47,dy_11_face
48,px_12_face
49,py_12_face
50,dx_12_face
51,dy_12_face
52,px_13_face
53,py_13_face
54,dx_13_face
55,dy_13_face
56,px_14_face
57,py_14_face
58,dx_14_face
59,dy_14_face
60,px_15_face
61,py_15_face
62,dx_15_face
63,dy_15_face
64,px_16_face
65,py_16_face
66,dx_16_face
67,dy_16_face
68,px_17_face
69,py_17_face
70,dx_17_face
71,dy_17_face
72,px_18_face
73,py_18_face
74,dx_18_face
75,dy_18_face
76,px_19_face
77,py_19_face
78,dx_19_face
79,dy_19_face
80,px_20_face
81,py_20_face
82,dx_20_face
83,dy_20_face
84,px_21_face
85,py_21_face
86,dx_21_face
87,dy_21_face
88,px_22_face
89,py_22_face
90,dx_22_face
91,dy_22_face
92,px_23_face
93,py_23_face
94,dx_23_face
95,dy_23_face
96,px_24_face
97,py_24_face
98,dx_24_face
99,dy_24_face
100,px_25_face
101,py_25_face
102,dx_25_face
103,dy_25_face
104,px_26_face
105,py_26_face
106,dx_26_face
107,dy_26_face
108,px_27_face
109,py_27_face
110,dx_27_face
111,dy_27_face
112,px_28_face
113,py_28_face
114,dx_28_face
115,dy_28_face
116,px_29_face
117,py_29_face
118,dx_29_face
119,dy_29_face
120,px_30_face
121,py_30_face
122,dx_30_face
123,dy_30_face
124,px_31_face
125,py_31_face
126,dx_31_face
127,dy_31_face
128,px_32_face
129,py_32_face
130,dx_32_face
131,dy_32_face
132,px_33_face
133,py_33_face
134,dx_33_face
135,dy_33_face
136,px_34_face
137,py_34_face
138,dx_34_face
139,dy_34_face
140,px_35_face
141,py_35_face
142,dx_35_face
143,dy_35_face
144,px_36_face
145,py_36_face
146,dx_36_face
147,dy_36_face
148,px_37_face
149,py_37_face
150,dx_37_face
151,dy_37_face
152,px_38_face
153,py_38_face
154,dx_38_face
155,dy_38_face
156,px_39_face
157,py_39_face
158,dx_39_face
159,dy_39_face
