,0
0,px_0_left_hand
1,py_0_left_hand
2,dx_0_left_hand
3,dy_0_left_hand
4,px_1_left_hand
5,py_1_left_hand
6,dx_1_left_hand
7,dy_1_left_hand
8,px_2_left_hand
9,py_2_left_hand
10,dx_2_left_hand
11,dy_2_left_hand
12,px_3_left_hand
13,py_3_left_hand
14,dx_3_left_hand
15,dy_3_left_hand
16,px_4_left_hand
17,py_4_left_hand
18,dx_4_left_hand
19,dy_4_left_hand
20,px_5_left_hand
21,py_5_left_hand
22,dx_5_left_hand
23,dy_5_left_hand
24,px_6_left_hand
25,py_6_left_hand
26,dx_6_left_hand
27,dy_6_left_hand
28,px_7_left_hand
29,py_7_left_hand
30,dx_7_left_hand
31,dy_7_left_hand
32,px_8_left_hand
33,py_8_left_hand
34,dx_8_left_hand
35,dy_8_left_hand
36,px_9_left_hand
37,py_9_left_hand
38,dx_9_left_hand
39,dy_9_left_hand
40,px_10_left_hand
41,py_10_left_hand
42,dx_10_left_hand
43,dy_10_left_hand
44,px_11_left_hand
45,py_11_left_hand
46,dx_11_left_hand
47,dy_11_left_hand
48,px_12_left_hand
49,py_12_left_hand
50,dx_12_left_hand
51,dy_12_left_hand
52,px_13_left_hand
53,py_13_left_hand
54,dx_13_left_hand
55,dy_13_left_hand
56,px_14_left_hand
57,py_14_left_hand
58,dx_14_left_hand
59,dy_14_left_hand
60,px_15_left_hand
61,py_15_left_hand
62,dx_15_left_hand
63,dy_15_left_hand
64,px_16_left_hand
65,py_16_left_hand
66,dx_16_left_hand
67,dy_16_left_hand
68,px_17_left_hand
69,py_17_left_hand
70,dx_17_left_hand
71,dy_17_left_hand
72,px_18_left_hand
73,py_18_left_hand
74,dx_18_left_hand
75,dy_18_left_hand
76,px_19_left_hand
77,py_19_left_hand
78,dx_19_left_hand
79,dy_19_left_hand
80,px_20_left_hand
81,py_20_left_hand
82,dx_20_left_hand
83,dy_20_left_hand
84,px_0_pose
85,py_0_pose
86,dx_0_pose
87,dy_0_pose
88,px_1_pose
89,py_1_pose
90,dx_1_pose
91,dy_1_pose
92,px_2_pose
93,py_2_pose
94,dx_2_pose
95,dy_2_pose
96,px_3_pose
97,py_3_pose
98,dx_3_pose
99,dy_3_pose
100,px_4_pose
101,py_4_pose
102,dx_4_pose
103,dy_4_pose
104,px_5_pose
105,py_5_pose
106,dx_5_pose
107,dy_5_pose
108,px_6_pose
109,py_6_pose
110,dx_6_pose
111,dy_6_pose
112,px_7_pose
113,py_7_pose
114,dx_7_pose
115,dy_7_pose
116,px_8_pose
117,py_8_pose
118,dx_8_pose
119,dy_8_pose
120,px_9_pose
121,py_9_pose
122,dx_9_pose
123,dy_9_pose
124,px_10_pose
125,py_10_pose
126,dx_10_pose
127,dy_10_pose
128,px_11_pose
129,py_11_pose
130,dx_11_pose
131,dy_11_pose
132,px_12_pose
133,py_12_pose
134,dx_12_pose
135,dy_12_pose
136,px_13_pose
137,py_13_pose
138,dx_13_pose
139,dy_13_pose
140,px_14_pose
141,py_14_pose
142,dx_14_pose
143,dy_14_pose
144,px_15_pose
145,py_15_pose
146,dx_15_pose
147,dy_15_pose
148,px_16_pose
149,py_16_pose
150,dx_16_pose
151,dy_16_pose
152,px_17_pose
153,py_17_pose
154,dx_17_pose
155,dy_17_pose
156,px_18_pose
157,py_18_pose
158,dx_18_pose
159,dy_18_pose
160,px_19_pose
161,py_19_pose
162,dx_19_pose
163,dy_19_pose
164,px_20_pose
165,py_20_pose
166,dx_20_pose
167,dy_20_pose
168,px_21_pose
169,py_21_pose
170,dx_21_pose
171,dy_21_pose
172,px_22_pose
173,py_22_pose
174,dx_22_pose
175,dy_22_pose
176,px_23_pose
177,py_23_pose
178,dx_23_pose
179,dy_23_pose
180,px_24_pose
181,py_24_pose
182,dx_24_pose
183,dy_24_pose
184,px_25_pose
