,precision,recall,f1-score,support
pig,0.6323529411764706,0.4673913043478261,0.5375,92.0
elephant,0.7990654205607477,0.8952879581151832,0.8444444444444444,191.0
mad,0.8507462686567164,0.9693877551020408,0.9062003179650239,294.0
finger,0.7746478873239436,0.9683098591549296,0.8607198748043818,284.0
green,0.8899253731343284,1.0,0.9417571569595262,477.0
up,0.5230769230769231,0.3434343434343434,0.41463414634146345,99.0
bad,0.8297872340425532,0.9680851063829787,0.8936170212765958,282.0
bye,0.7306122448979592,0.8905472636815921,0.8026905829596412,201.0
airplane,0.8473053892215568,0.9593220338983051,0.8998410174880763,295.0
mom,0.822429906542056,0.8888888888888888,0.8543689320388348,198.0
kitty,0.8011049723756906,0.7435897435897436,0.7712765957446808,195.0
home,0.803030303030303,0.5353535353535354,0.6424242424242425,99.0
yellow,0.7982456140350878,0.9479166666666666,0.8666666666666667,192.0
shirt,0.8021390374331551,0.8522727272727273,0.8264462809917357,176.0
talk,0.8888888888888888,0.9491525423728814,0.9180327868852458,295.0
icecream,0.6231884057971014,0.43,0.5088757396449703,100.0
clown,0.88,0.9072164948453608,0.8934010152284264,194.0
lion,0.6515151515151515,0.4387755102040816,0.5243902439024389,98.0
thirsty,0.8617021276595744,0.9,0.8804347826086957,180.0
book,0.7867298578199052,0.9021739130434783,0.8405063291139241,184.0
dog,0.7111111111111111,0.3368421052631579,0.45714285714285713,95.0
pretty,0.8571428571428571,0.9591836734693877,0.9052969502407703,294.0
vacuum,0.8410958904109589,1.0,0.9136904761904762,307.0
chocolate,0.8325123152709359,0.8756476683937824,0.8535353535353536,193.0
same,0.5625,0.37894736842105264,0.45283018867924524,95.0
red,0.7636363636363637,0.8842105263157894,0.8195121951219512,190.0
every,0.8087431693989071,0.8043478260869565,0.8065395095367848,184.0
feet,0.7307692307692307,0.40860215053763443,0.5241379310344828,93.0
drawer,0.8059701492537313,0.8709677419354839,0.8372093023255813,186.0
gum,0.8850226928895613,1.0,0.9390048154093098,585.0
drop,0.7897435897435897,0.8651685393258427,0.8257372654155496,178.0
story,0.8535031847133758,0.9675090252707581,0.906937394247039,277.0
puppy,0.8485576923076923,0.988795518207283,0.9133247089262613,357.0
haveto,0.7301587301587301,0.7931034482758621,0.7603305785123967,174.0
zebra,0.81,0.8617021276595744,0.8350515463917526,188.0
cat,0.5151515151515151,0.34,0.40963855421686746,100.0
cow,0.609375,0.38613861386138615,0.4727272727272727,101.0
dryer,0.8535031847133758,0.9675090252707581,0.906937394247039,277.0
old,0.45714285714285713,0.32989690721649484,0.3832335329341317,97.0
garbage,0.7869822485207101,0.9568345323741008,0.8636363636363636,278.0
stairs,0.7252252252252253,0.8429319371727748,0.7796610169491525,191.0
cute,0.8522167487684729,0.9057591623036649,0.8781725888324873,191.0
wolf,0.9164677804295943,0.9896907216494846,0.9516728624535317,388.0
for,0.8703703703703703,0.4895833333333333,0.6266666666666666,96.0
tree,0.8171428571428572,1.0,0.89937106918239,286.0
sick,0.7902439024390244,0.8526315789473684,0.820253164556962,190.0
finish,0.7288135593220338,0.44329896907216493,0.5512820512820512,97.0
bird,0.7725321888412017,0.8910891089108911,0.8275862068965517,202.0
nose,0.877030162412993,0.9895287958115183,0.929889298892989,382.0
no,0.8665105386416861,1.0,0.9284818067754077,370.0
have,0.8771929824561403,0.9881422924901185,0.929368029739777,253.0
blow,0.6851851851851852,0.37755102040816324,0.4868421052631579,98.0
wet,0.625,0.3157894736842105,0.4195804195804196,95.0
give,0.29411764705882354,0.05813953488372093,0.0970873786407767,86.0
dry,0.8367346938775511,0.8367346938775511,0.8367346938775511,196.0
shower,0.8431372549019608,0.9247311827956989,0.882051282051282,186.0
another,0.9042904290429042,0.9891696750902527,0.9448275862068966,277.0
bee,0.65,0.3939393939393939,0.490566037735849,99.0
empty,0.6216216216216216,0.24731182795698925,0.35384615384615387,93.0
night,0.4,0.19047619047619047,0.25806451612903225,84.0
cry,0.8028846153846154,0.8564102564102564,0.8287841191066997,195.0
tiger,0.6986301369863014,0.5151515151515151,0.5930232558139534,99.0
because,0.6341463414634146,0.5252525252525253,0.5745856353591161,99.0
donkey,0.6853932584269663,0.5980392156862745,0.6387434554973822,102.0
yes,0.5492957746478874,0.40625,0.46706586826347307,96.0
yucky,0.5957446808510638,0.29473684210526313,0.3943661971830985,95.0
why,0.46551724137931033,0.2967032967032967,0.3624161073825503,91.0
morning,0.75,0.3225806451612903,0.4511278195488722,93.0
that,0.6818181818181818,0.47368421052631576,0.5590062111801242,95.0
orange,0.5058823529411764,0.4387755102040816,0.46994535519125685,98.0
where,0.5735294117647058,0.41935483870967744,0.48447204968944096,93.0
tomorrow,0.7841409691629956,0.9175257731958762,0.845605700712589,194.0
uncle,0.7159090909090909,0.6237623762376238,0.6666666666666667,101.0
mouth,0.6730769230769231,0.35714285714285715,0.4666666666666667,98.0
farm,0.765625,0.494949494949495,0.6012269938650306,99.0
frog,0.6233766233766234,0.48484848484848486,0.5454545454545454,99.0
table,0.6575342465753424,0.5714285714285714,0.6114649681528662,84.0
helicopter,0.5116279069767442,0.23157894736842105,0.3188405797101449,95.0
hear,0.6455696202531646,0.504950495049505,0.5666666666666667,101.0
yourself,0.8802083333333334,0.8756476683937824,0.8779220779220778,193.0
find,0.64,0.48484848484848486,0.5517241379310344,99.0
girl,0.6122448979591837,0.3191489361702128,0.4195804195804196,94.0
hungry,0.7835051546391752,0.7916666666666666,0.7875647668393783,96.0
stay,0.7526881720430108,0.7446808510638298,0.7486631016042781,94.0
drink,0.7169811320754716,0.76,0.7378640776699028,100.0
dad,0.8279569892473119,0.8191489361702128,0.823529411764706,94.0
sad,0.8064516129032258,0.7653061224489796,0.7853403141361257,98.0
